audit,split,fold_id,model,accuracy,balanced_accuracy,macro_f1,active_macro_f1,nll,ece,brier,n_test
context_prior_or_assist_ablation,amputee_loso,0,object_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.8329776593428097,0.0023225165939437242,0.5483660690724309,4200
context_prior_or_assist_ablation,amputee_loso,0,object_prior_active_conditional,0.4142857142857143,0.7532467532467532,0.4932918536135152,0.8147809364880704,13.955328734531369,0.4061363958597097,0.9921032868904981,4200
context_prior_or_assist_ablation,amputee_loso,0,object_only_prior_allclass,0.5,0.09090909090909091,0.0606060606060606,0.0,0.9670546797882991,0.0017450358123583531,0.5931388551123562,4200
context_prior_or_assist_ablation,amputee_loso,0,object_only_prior_active_conditional,0.3357142857142857,0.6103896103896104,0.4076623691363823,0.6630997489594874,14.08941137306047,0.3308007587581344,0.9954351101531477,4200
context_prior_or_assist_ablation,amputee_loso,0,metadata_extra_trees,0.42023809523809524,0.7543290043290043,0.506855552712734,0.7533091711571154,1.3584376020904734,0.3359583221336093,0.8397257134953964,4200
context_prior_or_assist_ablation,amputee_loso,0,metadata_logreg,0.4142857142857143,0.7532467532467532,0.4996760500689634,0.8244641321156732,1.392207739605497,0.34579694625475293,0.8502313979983068,4200
context_prior_or_assist_ablation,amputee_loso,0,assist_full_extra_trees,0.7997619047619048,0.7438528138528138,0.75016168815664,0.7224799158264803,0.55164184238236,0.1436206512393527,0.3203553402056376,4200
context_prior_or_assist_ablation,amputee_loso,0,assist_tail_extra_trees,0.7076190476190476,0.7738528138528139,0.689522014150343,0.7416572374201116,0.6466818858440214,0.07961462633041726,0.3952222452066425,4200
context_prior_or_assist_ablation,amputee_loso,0,assist_prefix_extra_trees,0.4969047619047619,0.1406060606060606,0.1298376253751093,0.06282427817321466,1.7626331140449094,0.17243482985689573,0.6850117245407805,4200
user_decoder_adequacy,amputee_loso,0,lda,0.5035714285714286,0.12272727272727271,0.08891468871626751,0.023243866360420477,1.6935782035194167,0.0776991581181731,0.6418833419708009,4200
user_decoder_adequacy,amputee_loso,0,logreg,0.41595238095238096,0.14887445887445885,0.12601197412773024,0.06738259423524516,2.195458289540201,0.23062648565650576,0.8501476048544441,4200
